5000,60.8
10000,60.0
15000,55.1
20000,56.7
25000,77.1
30000,57.5
35000,56.2
40000,52.6
45000,52.9
50000,55.3
55000,51.7
60000,54.0
65000,56.5
70000,53.0
75000,54.2
80000,55.8
85000,50.9
90000,58.1
95000,50.0
100000,49.8
105000,51.2
110000,51.2
115000,61.2
120000,53.4
125000,54.3
130000,49.1
135000,48.4
140000,47.7
145000,48.7
150000,51.7
155000,48.6
160000,48.1
165000,48.6
170000,56.3
175000,47.5
180000,51.7
185000,49.0
190000,52.3
195000,53.0
200000,51.9
205000,50.3
210000,49.7
215000,52.5
220000,48.9
225000,49.0
230000,59.9
235000,51.9
240000,53.4
245000,45.2
250000,50.6
255000,44.6
260000,46.3
265000,50.2
270000,43.5
275000,44.9
280000,44.6
285000,45.7
290000,47.2
295000,46.0
300000,46.9
305000,46.7
310000,48.5
315000,49.6
320000,48.9
325000,43.8
330000,45.0
335000,48.5
340000,46.4
345000,49.4
350000,52.1
355000,48.3
360000,55.3
365000,48.3
370000,59.2
375000,48.1
380000,57.8
385000,48.7
390000,50.6
395000,52.4
400000,53.7
405000,65.5
410000,49.7
415000,50.1
420000,63.7
425000,52.3
430000,48.6
435000,57.3
440000,53.1
445000,62.4
450000,57.6
455000,54.5
460000,57.3
465000,54.4
470000,55.2
475000,54.2
480000,50.0
485000,54.7
490000,60.3
495000,77.4
500000,81.2
505000,69.0
510000,87.7
515000,82.0
520000,91.8
525000,102.4
530000,87.2
535000,81.6
540000,81.0
545000,58.3
550000,66.4
555000,70.6
560000,51.5
565000,89.8
570000,93.0
575000,85.0
580000,97.7
585000,81.8
590000,86.2
595000,78.6
600000,67.7
605000,67.4
610000,80.9
615000,100.0
620000,88.1
625000,82.8
630000,94.2
635000,89.6
640000,109.3
645000,55.1
650000,66.0
655000,99.1
660000,79.4
665000,53.1
670000,50.3
675000,52.7
680000,64.4
685000,52.4
690000,57.7
695000,60.4
700000,49.5
705000,51.2
710000,50.7
715000,51.2
720000,51.6
725000,50.7
730000,48.7
735000,49.6
740000,47.7
745000,48.1
750000,47.7
755000,47.4
760000,47.4
765000,47.4
770000,47.4
775000,47.7
780000,47.7
785000,48.9
790000,47.7
795000,47.5
800000,47.4
