5000,51.0
10000,33.8
15000,33.4
20000,29.1
25000,32.5
30000,29.4
35000,32.0
40000,32.0
45000,30.7
50000,29.3
55000,30.2
60000,29.4
65000,29.6
70000,31.2
75000,30.4
80000,29.8
85000,31.6
90000,29.2
95000,30.2
100000,31.6
105000,27.4
110000,28.4
115000,24.4
120000,25.4
125000,28.1
130000,26.4
135000,28.0
140000,26.4
145000,25.7
150000,30.3
155000,28.8
160000,30.5
165000,26.6
170000,28.3
175000,28.0
180000,29.2
185000,29.3
190000,31.4
195000,30.1
200000,29.9
205000,29.8
210000,32.6
215000,30.1
220000,27.4
225000,29.4
230000,26.9
235000,28.9
240000,43.9
245000,33.8
250000,30.3
255000,29.0
260000,31.1
265000,28.0
270000,30.9
275000,27.2
280000,30.6
285000,31.6
290000,26.3
295000,28.6
300000,30.0
305000,28.6
310000,29.4
315000,28.0
320000,28.9
325000,27.8
330000,36.4
335000,28.5
340000,30.7
345000,29.6
350000,29.5
355000,26.0
360000,29.4
365000,28.3
370000,27.6
375000,31.5
380000,28.2
385000,32.6
390000,28.0
395000,30.7
400000,34.0
