5000,51.3
10000,38.2
15000,32.1
20000,43.6
25000,46.4
30000,42.3
35000,37.8
40000,30.6
45000,36.8
50000,38.3
55000,35.2
60000,31.8
65000,32.1
70000,30.5
75000,35.8
80000,35.9
85000,39.1
90000,43.5
95000,33.1
100000,36.0
105000,24.8
110000,36.9
115000,31.3
120000,30.2
125000,43.6
130000,32.9
135000,29.4
140000,33.8
145000,33.2
150000,35.8
155000,53.2
160000,46.8
165000,30.5
170000,32.3
175000,26.2
180000,32.9
185000,28.6
190000,28.1
195000,28.5
200000,27.4
205000,31.7
210000,28.2
215000,33.9
220000,27.7
225000,31.7
230000,29.2
235000,30.7
240000,28.3
245000,31.8
250000,26.4
255000,29.6
260000,33.2
265000,30.9
270000,29.1
275000,31.6
280000,29.4
285000,26.8
290000,28.9
295000,53.2
300000,41.2
305000,35.9
310000,29.2
315000,52.0
320000,30.5
325000,30.2
330000,30.1
335000,32.0
340000,28.5
345000,31.9
350000,28.5
355000,30.5
360000,27.5
365000,29.6
370000,29.7
375000,31.6
380000,27.9
385000,31.1
390000,28.2
395000,32.2
400000,32.0
