5000,33.5
10000,31.6
15000,26.8
20000,23.6
25000,23.8
30000,23.6
35000,24.5
40000,24.0
45000,24.6
50000,31.9
55000,25.5
60000,27.5
65000,24.3
70000,22.5
75000,21.9
80000,23.2
85000,22.0
90000,22.9
95000,23.5
100000,33.9
105000,27.9
110000,20.7
115000,24.1
120000,32.3
125000,35.1
130000,35.0
135000,35.0
140000,72.5
145000,72.9
150000,59.6
155000,70.2
160000,44.1
165000,49.8
170000,46.6
175000,50.9
180000,48.1
185000,52.1
190000,39.6
195000,41.2
200000,39.0
205000,53.4
210000,47.5
215000,49.4
220000,48.9
225000,53.0
230000,62.9
235000,76.0
240000,53.1
245000,53.3
250000,47.5
255000,37.5
260000,29.6
265000,27.8
270000,29.5
275000,40.0
280000,48.1
285000,51.5
290000,44.9
295000,44.9
300000,50.0
305000,29.7
310000,90.9
315000,54.5
320000,29.9
325000,28.3
330000,47.9
335000,40.1
340000,30.5
345000,35.7
350000,33.1
355000,32.9
360000,47.3
365000,31.2
370000,30.0
375000,39.9
380000,43.7
385000,31.3
390000,29.9
395000,27.5
400000,29.5
